OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
COSMOS 2251 DEB,1993-036HK,2026-08-16T10:55:35.554368,14.35621711,.00221596,74.0439,223.7047,221.1157,292.6087,0,U,34024,999,91564,.70262433E-4,.177E-5,0
COSMOS 2251 DEB,1993-036HM,2026-08-16T14:04:03.554400,13.65758491,.03449671,73.7666,286.6817,118.3146,30.1964,0,U,34026,999,86901,.2392744E-3,.274E-5,0
COSMOS 2251 DEB,1993-036HP,2026-08-16T16:32:56.851296,13.20816252,.05447609,73.8845,328.5257,64.7743,46.0326,0,U,34028,999,84268,-.25868689E-4,-.4E-6,0
COSMOS 2251 DEB,1993-036HS,2026-08-16T09:59:15.505152,14.61864249,.00227568,74.0120,23.5961,81.4107,308.3892,0,U,34031,999,92168,.42364365E-3,.2096E-4,0
COSMOS 2251 DEB,1993-036HW,2026-08-16T20:06:09.404640,14.54500146,.00407115,74.0611,243.3237,191.0241,223.7040,0,U,34035,999,91556,.49844419E-3,.2119E-4,0
COSMOS 2251 DEB,1993-036HX,2026-08-16T11:45:49.843008,15.21449703,.00100413,74.0039,0.8561,5.4665,354.6640,0,U,34036,999,92289,.24488902E-2,.55496E-3,0
COSMOS 2251 DEB,1993-036HY,2026-08-16T15:47:47.525280,14.35312122,.00548609,74.0521,318.2394,307.7121,51.9065,0,U,34037,999,91259,.18448383E-3,.511E-5,0
COSMOS 2251 DEB,1993-036JB,2026-08-16T11:32:31.845696,13.69147985,.03357084,73.9582,17.8612,282.9039,73.4784,0,U,34040,999,86976,.84541012E-3,.1062E-4,0
COSMOS 2251 DEB,1993-036JG,2026-08-16T10:00:06.394752,14.34179195,.00276214,74.0366,219.4302,246.4008,264.5435,0,U,34045,999,91569,.34945128E-4,.72E-6,0
COSMOS 2251 DEB,1993-036JH,2026-08-16T12:59:49.699680,14.48397373,.00785385,74.0357,268.8147,291.7525,194.4448,0,U,34046,999,91397,.36234898E-3,.1381E-4,0
COSMOS 2251 DEB,1993-036JM,2026-08-16T15:09:17.405280,13.96727226,.02188826,74.0880,306.2825,311.5331,167.6872,0,U,34050,999,88878,.39812632E-3,.651E-5,0
COSMOS 2251 DEB,1993-036JQ,2026-08-16T08:21:42.668928,13.49398518,.04241931,73.8429,204.6329,312.0787,44.4951,0,U,34053,999,86010,.30216545E-3,.308E-5,0
COSMOS 2251 DEB,1993-036JT,2026-08-16T19:11:53.365344,14.21939260,.01260028,74.0588,353.9776,342.8900,180.1177,0,U,34056,999,89921,.50442732E-3,.1181E-4,0
COSMOS 2251 DEB,1993-036JV,2026-08-16T03:55:26.154624,13.56340009,.03772055,73.9330,138.5830,87.0953,68.5905,0,U,34058,999,86483,.45938069E-3,.493E-5,0
COSMOS 2251 DEB,1993-036JW,2026-08-16T17:27:29.449152,14.54183760,.00176081,74.0361,79.7784,97.1302,335.0804,0,U,34059,999,92048,.27752944E-3,.1149E-4,0
COSMOS 2251 DEB,1993-036JY,2026-08-16T19:27:11.379168,14.40795142,.00207294,74.0394,166.5021,190.6227,200.2155,0,U,34061,999,91738,.14092395E-3,.426E-5,0
