OBJECT_NAME,OBJECT_ID,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,CLASSIFICATION_TYPE,NORAD_CAT_ID,ELEMENT_SET_NO,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT
STARLINK-1420,2020-035AQ,2026-08-16T15:45:04.109184,15.79782112,.00060256,53.0411,314.4433,351.2211,8.8703,0,U,45695,999,34444,.39420542E-3,.74043E-3,0
STARLINK-1422,2020-035AR,2026-08-16T19:10:39.493344,15.42748262,.00018411,53.1570,20.1978,284.4293,75.6508,0,U,45696,999,34356,.92387691E-3,.40809E-3,0
STARLINK-1351,2020-035AS,2026-08-16T22:34:50.442240,15.73587638,.00050194,53.0399,315.7583,8.0885,352.0214,0,U,45697,999,34445,.32154994E-3,.45542E-3,0
STARLINK-1400,2020-035AV,2026-08-16T15:48:13.631040,15.79587233,.00050568,53.0411,317.7687,340.2122,19.8702,0,U,45700,999,34439,.37122766E-3,.69003E-3,0
STARLINK-1403,2020-035AW,2026-08-16T19:15:13.915296,15.39580275,.00018271,53.1534,9.0347,118.5928,241.5261,0,U,45701,999,34371,.50742486E-3,.19924E-3,0
STARLINK-1407,2020-035AY,2026-08-16T11:26:12.262848,15.87319466,.00060058,53.0214,241.6445,2.3742,357.7310,0,U,45703,999,34544,.39929032E-3,.107848E-2,0
STARLINK-1423,2020-035BF,2026-08-16T11:39:45.382752,15.77531247,.00057971,53.0402,315.3355,344.4466,15.6375,0,U,45710,999,34440,.29870693E-3,.50349E-3,0
STARLINK-1433,2020-035BG,2026-08-16T22:51:16.153056,15.85186650,.00067989,53.0386,309.0879,356.2889,3.8083,0,U,45711,999,34453,.41024545E-3,.99777E-3,0
STARLINK-1434,2020-035BH,2026-08-16T15:04:04.065312,15.39904547,.0001971,53.0487,351.4107,290.1372,69.9419,0,U,45712,999,34393,.76478205E-3,.30604E-3,0
STARLINK-1465,2020-038B,2026-08-16T12:33:37.490976,15.76801479,.00037945,53.0423,159.7990,62.0112,298.1291,0,U,45731,999,34139,.58356466E-3,.96293E-3,0
STARLINK-1471,2020-038F,2026-08-16T21:55:53.264352,15.59568760,.00015394,53.0413,89.1711,106.7199,253.3982,0,U,45735,999,34243,.30806619E-3,.2451E-3,0
